GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13031,"Bulloch, GA",90,Manufacturing and information,235950,226868,213250,198652,186286,177940,153494,161356,169621,162980,186153,191837
13031,"Bulloch, GA",91,Private goods-producing industries 2/,294103,272088,254969,(D),(D),(D),(D),269681,(D),(D),284403,306028
13031,"Bulloch, GA",92,Private services-providing industries 3/,1594662,1554596,1479288,(D),(D),(D),(D),1087391,(D),(D),1029995,1026656
13033,"Burke, GA",1,All industry total,2830946,2663788,2404145,2176005,2026887,1976965,1920577,1802061,1581099,1494603,1256893,1214060
13033,"Burke, GA",2,  Private industries,2700692,2542815,2285796,2057305,1910853,1856941,1808043,1693974,1473754,1395865,1168690,1125174
13033,"Burke, GA",3,"    Agriculture, forestry, fishing and hunting",(D),13356,32628,31347,29236,53782,42923,37700,25849,28957,37432,45787
13033,"Burke, GA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,109,0
13033,"Burke, GA",10,    Utilities,1491622,1416990,1390086,1325469,1273742,1311966,1303660,1264025,1108672,1055833,833225,767931
13033,"Burke, GA",11,    Construction,(D),230348,14660,11244,11793,12889,15975,13675,16496,10954,8809,8220
13033,"Burke, GA",12,    Manufacturing,66531,74085,68702,69593,62105,68017,65511,55850,46553,47473,39013,45173
13033,"Burke, GA",13,      Durable goods manufacturing,61337,63009,56040,56385,50091,60733,(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",25,      Nondurable goods manufacturing,5194,11076,12662,13208,12014,7284,(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",34,    Wholesale trade,88724,84073,82017,82977,71726,61065,56894,45429,35823,31178,30809,27735
13033,"Burke, GA",35,    Retail trade,43693,38129,38584,37543,37220,36006,33592,30712,29231,29970,31182,29595
13033,"Burke, GA",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",45,    Information,4025,3644,3553,3208,3199,3422,3623,5122,6791,14548,17198,18470
13033,"Burke, GA",50,"    Finance, insurance, real estate, rental, and leasing",134438,127836,121409,113139,109426,103612,101644,102362,102897,103283,99258,105714
13033,"Burke, GA",51,      Finance and insurance,27202,26420,28750,27043,29246,27273,25640,24759,25458,21941,22491,20306
13033,"Burke, GA",56,      Real estate and rental and leasing,107236,101416,92660,86095,80180,76339,76004,77603,77439,81342,76767,85408
13033,"Burke, GA",59,    Professional and business services,121459,488985,469641,315367,(D),139427,119348,73721,35653,12596,15810,16818
13033,"Burke, GA",60,"      Professional, scientific, and technical services",103155,473242,454907,300239,230868,(D),(D),(D),(D),5837,4230,3583
13033,"Burke, GA",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),(D),(D),(D),(D),465,5438,5328
13033,"Burke, GA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),(D),8767,9226,8818,8097,6294,6142,7907
13033,"Burke, GA",68,"    Educational services, health care, and social assistance",28831,27121,(D),33122,(D),(D),35398,37221,39102,37024,(D),(D)
13033,"Burke, GA",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6475,6388
13033,"Burke, GA",76,"      Arts, entertainment, and recreation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),770,735
13033,"Burke, GA",79,      Accommodation and food services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5705,5653
13033,"Burke, GA",82,    Other services (except government and government enterprises),12216,12677,12862,13158,12543,11428,11989,12376,12617,11179,10604,10191
13033,"Burke, GA",83,Government and government enterprises,130255,120973,118349,118700,116033,120025,112534,108087,107345,98738,88203,88886
13033,"Burke, GA",,Addenda:,,,,,,,,,,,,
13033,"Burke, GA",87,Natural resources and mining,(D),13356,32628,31347,29236,53782,42923,37700,25849,28957,37541,45787
13033,"Burke, GA",88,Trade,132417,122202,120601,120520,108946,97071,90486,76142,65054,61148,61991,57330
13033,"Burke, GA",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13033,"Burke, GA",90,Manufacturing and information,70556,77729,72255,72801,65303,71439,69133,60973,53344,62020,56211,63644
13033,"Burke, GA",91,Private goods-producing industries 2/,748603,317789,115990,112183,103133,134688,124409,107226,88898,87384,85363,99179
13033,"Burke, GA",92,Private services-providing industries 3/,1952089,2225026,2169806,1945122,1807720,1722252,1683634,1586749,1384856,1308482,1083327,1025994
13035,"Butts, GA",1,All industry total,646145,614717,567265,540443,525842,503999,480912,468723,466245,452705,469296,489140
13035,"Butts, GA",2,  Private industries,527884,499182,455669,430476,419438,398240,372900,367062,366572,358951,380491,405163
13035,"Butts, GA",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),2735,3166,2630,(D),(D),5121,7130
13035,"Butts, GA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0
13035,"Butts, GA",10,    Utilities,13176,14705,12979,11731,11722,10559,9613,9842,9059,9716,9196,8677
13035,"Butts, GA",11,    Construction,(D),(D),(D),(D),(D),14047,12723,13808,(D),(D),22106,27786
13035,"Butts, GA",12,    Manufacturing,71870,67468,66352,57091,59291,52265,51076,50771,52639,53572,52919,65707
13035,"Butts, GA",13,      Durable goods manufacturing,(D),(D),(D),(D),(D),(D),(D),(D),(D),30182,(D),36657
